Player1,Player2,Round,FSP1,FSW1,SSP1,SSW1,ACE1,DBF1,WNR1,UFE1,BPC1,BPW1,NPA1,NPW1,TPW1,ST11,ST21,ST31,ST41,ST51,FSP2,FSW2,SSP2,SSW2,ACE2,DBF2,WNR2,UFE2,BPC2,BPW2,NPA2,NPW2,TPW2,ST12,ST22,ST32,ST42,ST52,Gender,Result
Jo-Wilfried Tsonga,Filippo Volandri,1,62,37,38,23,15,1,36,25,5,13,12,15,104,7,6,6,NA,NA,57,35,43,20,2,6,28,39,1,2,20,31,77,5,3,3,NA,NA,Male,1
Martin Klizan,John Isner,1,54,25,46,21,9,2,27,10,2,5,1,3,71,6,7,NA,NA,NA,78,36,22,6,10,0,23,23,0,3,5,10,52,2,6,NA,NA,NA,Male,1
Blaz Rola,Federico Delbonis,1,68,57,32,13,6,8,6,8,4,9,,,108,6,6,7,NA,NA,63,38,37,16,4,1,4,1,0,8,,,86,4,2,5,NA,NA,Male,1
Michal Przysiezny,Horacio Zeballos,1,69,48,31,17,15,0,15,0,5,8,,,104,6,7,7,NA,NA,60,43,40,18,11,4,11,4,2,4,,,85,3,6,5,NA,NA,Male,1
Stephane Robert,Aljaz Bedene,1,46,25,54,21,4,2,22,22,9,17,11,12,104,7,6,6,NA,NA,54,40,46,9,16,11,28,52,4,5,6,10,74,6,3,0,NA,NA,Male,1
Somdev Devvarman,Feliciano Lopez,1,52,34,48,28,6,1,6,1,2,7,,,89,4,4,6,NA,NA,65,50,35,18,12,2,12,2,4,7,,,110,6,6,7,NA,NA,Male,0
Michael Berrer,Michael Llodra,1,63,39,37,19,9,6,9,6,5,12,,,95,6,7,6,NA,NA,72,47,28,12,10,5,10,5,0,2,,,74,4,5,1,NA,NA,Male,1
Vincent Millot,Wayne Odesnik,1,57,63,43,34,18,9,54,68,11,26,8,11,173,7,4,6,6,6,67,67,33,22,11,2,39,73,7,20,10,17,158,5,6,7,1,3,Male,1
Andy Murray,Go Soeda,1,69,33,31,11,12,2,32,13,7,13,4,5,84,6,6,6,NA,NA,61,28,39,6,6,3,23,33,0,0,11,16,49,1,1,3,NA,NA,Male,1
Rhyne Williams,Juan Martin Del Potro,1,57,52,43,25,29,1,55,39,1,2,12,18,107,7,3,4,4,NA,64,62,36,23,16,3,46,29,4,8,21,28,122,6,6,6,6,NA,Male,0
Roberto Bautista Agut,Tim Smyczek,1,82,37,18,7,1,1,1,1,8,18,,,95,6,6,6,NA,NA,61,28,39,10,8,5,8,5,1,2,,,55,2,1,1,NA,NA,Male,1
Nick Kyrgios,Benjamin Becker,1,54,60,46,25,34,13,71,52,6,8,5,8,133,6,6,6,7,NA,53,45,47,31,12,5,38,36,3,7,6,6,114,3,7,2,6,NA,Male,1
Benoit Paire,Frank Dancevic,1,57,54,43,22,24,6,58,25,3,12,22,35,117,7,6,6,NA,NA,59,47,41,20,12,3,36,14,1,4,15,32,97,6,3,4,NA,NA,Male,1
Bradley Klahn,Grigor Dimitrov,1,58,54,42,28,10,9,10,9,0,0,,,105,7,4,4,3,NA,57,55,43,30,14,4,14,4,4,8,,,133,6,6,6,6,NA,Male,0
Jimmy Wang,Yen-Hsun Lu,1,63,32,37,12,1,3,1,3,3,7,,,76,3,2,1,NA,NA,62,33,38,11,9,5,9,5,9,19,,,101,6,6,6,NA,NA,Male,0
Peter Gojowczyk,Victor Hanescu,1,55,44,45,22,8,6,36,59,1,6,5,7,103,6,6,3,NA,NA,66,60,34,23,9,4,24,34,2,6,10,12,121,7,7,6,NA,NA,Male,0
Milos Raonic,Daniel Gimeno-Traver,1,64,56,36,17,21,7,48,29,7,20,21,30,127,7,6,4,6,NA,56,43,44,25,5,5,22,33,3,6,8,12,96,6,1,6,2,NA,Male,1
Marinko Matosevic,Kei Nishikori,1,61,69,39,29,14,9,46,63,3,9,16,30,147,3,7,2,6,2,66,68,34,25,6,6,44,50,7,15,11,16,167,6,5,6,4,6,Male,0
Dusan Lajovic,Lucas Pouille,1,61,53,39,30,7,7,28,57,5,10,8,17,141,6,7,4,6,NA,61,55,39,22,2,10,41,88,4,8,23,39,126,4,6,6,3,NA,Male,1
Robin Haase,Donald Young,1,67,56,33,18,11,6,38,56,1,4,13,15,106,7,6,2,0,NA,73,58,27,16,0,5,34,33,2,7,29,40,124,6,7,6,1,NA,Male,0
Andreas Seppi,Lleyton Hewitt,1,59,72,41,40,17,5,67,59,7,18,8,11,175,7,6,5,5,7,51,76,49,38,23,5,54,61,7,13,23,40,178,6,3,7,7,5,Male,1
Ryan Harrison,Gael Monfils,1,62,42,38,17,2,1,19,23,0,0,13,20,76,4,4,4,NA,NA,64,43,36,18,9,5,43,27,3,4,18,22,95,6,6,6,NA,NA,Male,0
Tobias Kamke,Jack Sock,1,49,51,51,36,6,8,6,8,2,12,,,138,6,7,2,4,NA,50,54,50,43,16,12,16,12,4,10,,,146,7,5,6,6,NA,Male,0
Thanasi Kokkinakis,Igor Sijsling,1,54,55,46,36,8,9,54,45,3,5,14,23,135,7,0,7,6,NA,59,56,41,23,20,5,53,47,4,9,23,36,135,6,6,6,2,NA,Male,1
Rafael Nadal,Bernard Tomic,1,62,14,38,6,5,1,13,5,1,1,5,5,30,6,NA,NA,NA,NA,71,15,29,3,3,1,13,7,0,0,3,5,24,4,NA,NA,NA,NA,Male,1
Leonardo Mayer,Novak Djokovic,2,52,28,48,17,3,7,14,39,0,0,7,11,59,0,4,4,NA,NA,66,36,34,17,12,2,30,11,5,6,5,9,93,6,6,6,NA,NA,Male,0
Dmitry Tursunov,Denis Istomin,2,53,45,47,26,5,5,31,44,3,10,24,38,106,6,6,1,4,NA,54,47,46,36,14,1,46,34,5,8,14,18,127,7,4,6,6,NA,Male,0
Sam Querrey,Ernests Gulbis,2,72,45,28,11,19,4,30,21,5,9,6,11,88,6,6,6,NA,NA,46,23,54,21,7,4,19,41,1,3,6,11,59,2,3,4,NA,NA,Male,1
Fabio Fognini,Jarkko Nieminen,2,58,62,42,30,9,12,51,60,5,15,27,33,144,7,6,3,6,NA,65,57,35,23,3,5,24,37,2,16,15,24,134,5,4,6,2,NA,Male,1
Nikolay Davydenko,Richard Gasquet,2,77,48,23,11,6,1,39,43,4,5,9,12,97,6,4,4,NA,NA,58,41,42,21,9,5,33,37,6,11,10,15,110,7,6,6,NA,NA,Male,0
Tommy Robredo,Julien Benneteau,2,58,61,42,38,17,3,66,25,4,13,13,17,159,6,6,6,7,NA,62,68,38,27,14,6,64,65,1,11,42,65,138,3,7,1,6,NA,Male,1
Matthew Ebden,Vasek Pospisil,2,68,64,32,19,8,3,30,43,3,11,26,35,121,6,6,6,1,NA,60,59,40,31,13,3,46,47,4,5,25,39,132,3,7,7,6,NA,Male,0
Stanislas Wawrinka,Alejandro Falla,2,56,57,44,31,9,4,61,46,6,17,23,29,142,6,6,6,6,NA,60,56,40,25,1,3,26,37,2,7,24,39,117,3,3,7,4,NA,Male,1
Adrian Mannarino,David Ferrer,2,55,44,45,25,5,1,32,73,5,10,18,31,113,6,7,0,3,NA,68,56,32,18,0,4,32,48,9,17,21,22,142,7,5,6,6,NA,Male,0
Jeremy Chardy,Alexandr Dolgopolov,2,60,74,40,30,22,10,76,73,5,14,24,38,164,7,7,6,7,NA,71,81,29,22,15,2,43,36,4,12,19,24,160,5,6,7,6,NA,Male,1
Pablo Andujar,Jerzy Janowicz,2,79,71,21,20,11,1,57,28,3,11,17,26,149,6,6,6,3,NA,67,76,33,25,15,5,63,47,3,11,11,18,151,4,7,7,6,NA,Male,0
Mikhail Youzhny,Florian Mayer,2,55,55,45,36,14,5,48,46,3,7,14,21,126,4,6,3,6,3,60,59,40,33,19,3,48,41,4,11,29,42,136,6,3,6,3,6,Male,0
Edouard Roger-Vasselin,Guillermo Garcia-Lopez,2,57,49,43,28,11,2,11,2,7,17,,,130,7,6,4,6,NA,51,46,49,26,9,10,9,10,4,13,,,117,6,4,6,1,NA,Male,1
Kevin Anderson,Dominic Thiem,2,65,43,35,18,15,5,30,22,3,5,12,15,87,6,6,6,NA,NA,59,34,41,16,10,3,28,21,0,2,2,5,69,4,3,4,NA,NA,Male,1
Damir Dzumhur,Ivan Dodig,2,51,36,49,26,7,6,33,27,3,5,12,18,95,4,4,6,4,NA,55,39,45,20,13,2,37,43,3,7,12,19,91,6,6,3,1,NA,Male,0
Tomas Berdych,Kenny De Schepper,2,64,37,36,15,5,4,29,13,5,8,21,25,93,6,6,6,NA,NA,63,33,37,10,8,9,29,32,0,0,14,25,57,4,1,3,NA,NA,Male,1
Blaz Kavcic,Roger Federer,2,62,32,38,18,6,3,14,21,1,2,4,13,72,2,1,6,NA,NA,76,45,24,9,11,0,52,35,6,11,23,29,103,6,6,7,NA,NA,Male,0
Fernando Verdasco,Teymuraz Gabashvili,2,60,67,40,34,12,18,56,71,6,10,15,26,156,6,6,6,4,4,68,62,32,26,2,4,24,51,5,17,6,10,146,7,3,2,6,6,Male,0
Marin Cilic,Gilles Simon,2,50,50,50,32,15,7,15,7,7,15,,,156,6,6,7,1,2,49,65,51,41,7,8,7,8,10,12,,,171,4,7,6,6,6,Male,0
Jo-Wilfried Tsonga,Thomaz Bellucci,2,64,51,36,18,14,6,47,28,3,9,16,24,110,7,6,6,NA,NA,45,31,55,34,9,5,19,29,1,4,13,18,88,6,4,4,NA,NA,Male,1
Blaz Rola,Martin Klizan,2,63,66,37,24,12,8,12,8,3,4,,,123,4,3,7,6,NA,58,49,42,34,16,5,16,5,5,14,,,139,6,6,5,7,NA,Male,0
Stephane Robert,Michal Przysiezny,2,58,56,42,30,13,8,43,28,6,17,13,15,143,7,6,6,6,NA,58,50,42,24,12,6,46,63,2,7,22,36,112,6,1,7,1,NA,Male,1
Michael Berrer,Feliciano Lopez,2,68,47,32,17,6,3,29,25,2,4,37,61,93,4,6,4,NA,NA,62,45,38,23,8,3,43,24,4,11,17,21,108,6,7,6,NA,NA,Male,0
Andy Murray,Vincent Millot,2,59,35,41,17,5,5,25,31,8,17,7,7,106,6,6,7,NA,NA,55,25,45,20,2,7,22,55,3,4,12,20,68,2,2,5,NA,NA,Male,1
Roberto Bautista Agut,Juan Martin Del Potro,2,69,88,31,23,12,6,72,59,5,8,20,28,162,4,6,5,6,7,72,76,28,21,28,2,53,41,4,17,13,25,152,6,3,7,4,5,Male,1
Benoit Paire,Nick Kyrgios,2,50,68,50,47,32,5,78,45,7,24,28,32,188,6,6,6,6,6,66,86,34,27,24,11,59,74,2,10,21,35,159,7,7,4,2,2,Male,1
Yen-Hsun Lu,Grigor Dimitrov,2,70,47,30,19,2,2,23,46,2,4,13,18,95,3,3,6,NA,NA,59,49,41,18,15,7,36,35,5,21,5,9,117,6,6,7,NA,NA,Male,0
Milos Raonic,Victor Hanescu,2,64,57,36,23,27,2,63,36,2,6,17,25,116,7,6,6,NA,NA,67,55,33,22,6,1,23,23,0,5,7,10,101,6,4,4,NA,NA,Male,1
Dusan Lajovic,Kei Nishikori,2,70,37,30,8,7,3,17,49,1,5,4,7,68,1,1,6,NA,NA,64,43,36,15,5,3,30,27,6,12,10,14,104,6,6,7,NA,NA,Male,0
Andreas Seppi,Donald Young,2,57,57,43,33,12,10,47,65,6,18,9,15,165,4,6,3,6,5,61,71,39,29,6,15,47,78,6,15,31,48,158,6,2,6,4,7,Male,0
Jack Sock,Gael Monfils,2,58,48,42,23,5,9,34,37,1,1,16,29,92,6,5,2,NA,NA,62,47,38,23,13,3,39,30,4,11,20,26,117,7,7,6,NA,NA,Male,0
Rafael Nadal,Thanasi Kokkinakis,2,74,45,26,11,7,1,39,19,5,10,11,14,91,6,6,6,NA,NA,67,33,33,10,4,3,21,24,0,3,8,10,61,2,4,2,NA,NA,Male,1
Denis Istomin,Novak Djokovic,3,65,41,35,10,5,1,14,26,1,1,3,9,71,3,3,5,NA,NA,63,38,37,20,6,1,31,23,5,8,16,21,93,6,6,7,NA,NA,Male,0
Fabio Fognini,Sam Querrey,3,60,41,40,26,9,3,43,26,4,10,7,11,108,7,6,6,NA,NA,63,43,37,19,10,1,27,41,1,4,11,23,86,5,4,4,NA,NA,Male,1
Tommy Robredo,Richard Gasquet,3,65,70,35,21,16,3,51,38,3,7,18,25,140,2,7,6,7,NA,62,61,38,28,4,5,62,34,3,9,44,57,137,6,5,4,6,NA,Male,1
Jeremy Chardy,David Ferrer,3,58,44,42,17,8,8,30,51,1,3,17,27,87,2,6,2,NA,NA,72,44,28,17,2,1,22,24,5,11,10,12,111,6,7,6,NA,NA,Male,0
Florian Mayer,Jerzy Janowicz,3,68,42,32,15,17,0,38,7,5,11,12,13,98,7,6,6,NA,NA,53,34,47,18,3,7,34,44,0,1,11,15,63,5,2,2,NA,NA,Male,1
Kevin Anderson,Edouard Roger-Vasselin,3,67,77,33,26,27,6,82,69,3,12,22,30,164,3,4,6,7,7,74,94,26,20,8,4,43,34,3,7,17,29,162,6,6,3,6,5,Male,1
Tomas Berdych,Damir Dzumhur,3,57,37,43,19,13,1,32,26,5,9,13,18,93,6,6,6,NA,NA,44,25,56,17,5,6,21,34,0,2,5,9,58,4,2,2,NA,NA,Male,1
Teymuraz Gabashvili,Roger Federer,3,69,38,31,10,3,5,27,33,0,5,7,19,66,2,2,3,NA,NA,62,39,38,16,6,1,35,18,5,14,11,20,98,6,6,6,NA,NA,Male,0
Jo-Wilfried Tsonga,Gilles Simon,3,66,49,34,20,17,0,40,29,3,6,20,27,94,7,6,6,NA,NA,53,34,47,22,7,3,21,25,0,3,23,28,79,6,4,2,NA,NA,Male,1
Stephane Robert,Martin Klizan,3,72,54,28,11,7,5,35,23,4,10,14,17,105,6,7,6,NA,NA,53,32,47,21,6,4,36,38,0,3,18,29,75,0,6,4,NA,NA,Male,1
Andy Murray,Feliciano Lopez,3,64,50,36,16,6,2,29,30,4,11,11,18,106,7,6,6,NA,NA,57,39,43,20,8,7,31,44,1,1,26,37,84,6,4,2,NA,NA,Male,1
Benoit Paire,Roberto Bautista Agut,3,58,30,42,10,13,3,31,59,2,7,11,22,65,2,1,4,NA,NA,83,46,17,7,4,1,21,23,7,20,11,14,96,6,6,6,NA,NA,Male,0
Milos Raonic,Grigor Dimitrov,3,59,55,41,30,21,5,50,39,1,3,22,53,107,3,6,4,6,NA,60,55,40,33,15,5,49,13,2,4,12,15,128,6,3,6,7,NA,Male,0
Donald Young,Kei Nishikori,3,64,23,36,7,1,5,17,32,1,4,15,30,56,5,1,0,NA,NA,54,29,46,21,3,1,30,27,8,12,3,7,93,7,6,6,NA,NA,Male,0
Rafael Nadal,Gael Monfils,3,67,38,33,20,2,0,21,18,6,12,9,13,107,6,6,6,NA,NA,69,39,31,10,10,5,33,57,0,6,4,9,70,1,2,3,NA,NA,Male,1
Fabio Fognini,Novak Djokovic,4,59,32,41,13,3,7,20,44,0,0,11,16,55,3,0,2,NA,NA,72,38,28,12,7,2,33,21,6,22,12,16,96,6,6,6,NA,NA,Male,0
Stanislas Wawrinka,Tommy Robredo,4,56,54,44,24,14,3,57,37,2,5,17,25,118,6,7,7,NA,NA,71,53,29,14,1,0,24,22,1,4,13,16,96,3,6,6,NA,NA,Male,1
Florian Mayer,David Ferrer,4,61,52,39,27,4,3,33,49,3,11,29,56,118,7,5,2,1,NA,63,55,37,24,3,1,64,43,9,19,19,27,153,6,7,6,6,NA,Male,0
Tomas Berdych,Kevin Anderson,4,52,33,48,21,4,3,38,17,5,17,15,18,92,6,6,6,NA,NA,72,40,28,9,16,1,31,30,0,0,6,19,66,2,2,3,NA,NA,Male,1
Jo-Wilfried Tsonga,Roger Federer,4,52,32,48,23,8,1,29,28,0,1,11,25,72,3,5,4,NA,NA,57,42,43,25,7,1,43,21,3,7,34,41,100,6,7,6,NA,NA,Male,0
Andy Murray,Stephane Robert,4,62,59,38,25,8,3,48,47,7,14,16,24,137,6,6,6,6,NA,51,39,49,22,3,8,33,56,1,6,20,31,103,1,2,7,2,NA,Male,1
Grigor Dimitrov,Roberto Bautista Agut,4,60,57,40,21,11,3,38,34,4,5,23,35,114,6,3,6,6,NA,64,44,36,22,5,1,27,45,1,5,13,23,100,3,6,2,4,NA,Male,1
Rafael Nadal,Kei Nishikori,4,71,67,29,14,12,1,36,28,5,8,10,19,129,7,7,7,NA,NA,66,51,34,16,2,1,36,51,4,10,20,25,110,6,5,6,NA,NA,Male,1
Stanislas Wawrinka,Novak Djokovic,5,58,71,42,36,17,5,51,60,5,10,20,30,153,2,6,6,3,9,73,75,27,23,7,1,45,60,4,7,26,35,161,6,4,2,6,7,Male,1
Tomas Berdych,David Ferrer,5,52,52,48,27,10,4,43,62,5,13,18,28,128,6,6,2,6,NA,61,46,39,23,2,1,30,46,3,12,12,13,119,1,4,6,4,NA,Male,1
Andy Murray,Roger Federer,5,61,60,39,28,9,1,41,46,1,2,17,27,121,3,4,7,3,NA,64,61,36,28,10,0,54,42,4,17,49,66,147,6,6,6,6,NA,Male,0
Rafael Nadal,Grigor Dimitrov,5,73,66,27,22,3,7,42,47,4,11,32,36,147,3,7,7,6,NA,58,64,42,32,16,5,54,61,3,6,28,41,132,6,6,6,2,NA,Male,1
Tomas Berdych,Stanislas Wawrinka,6,62,71,38,30,21,7,60,49,0,1,23,31,142,3,7,6,6,NA,61,72,39,32,18,4,57,49,1,4,14,18,143,6,6,7,7,NA,Male,0
Rafael Nadal,Roger Federer,6,65,41,35,22,3,1,28,25,4,14,3,10,105,7,6,6,NA,NA,66,45,34,18,8,1,34,50,1,2,23,42,86,6,3,3,NA,NA,Male,1
Rafael Nadal,Stanislas Wawrinka,7,78,50,22,10,1,3,19,32,2,6,5,8,88,3,2,6,3,NA,55,46,45,22,19,2,53,49,5,15,11,12,116,6,6,3,6,NA,Male,0
Serena Williams,Ashleigh Barty,1,59,20,41,8,6,2,31,17,5,10,10,11,58,6,6,NA,NA,NA,51,14,49,11,1,4,5,18,0,0,2,4,31,2,1,NA,NA,NA,Female,1
Vesna Dolonc,Lara Arruabarrena,1,65,33,35,10,7,4,7,4,5,10,,,78,2,6,6,NA,NA,62,33,38,10,0,3,0,3,4,7,,,74,6,2,4,NA,NA,Female,1
Pauline Parmentier,Karolina Pliskova,1,63,16,37,4,3,6,3,6,0,2,,,37,0,1,NA,NA,NA,60,26,40,7,5,0,5,0,5,14,,,64,6,6,NA,NA,NA,Female,0
Heather Watson,Daniela Hantuchova,1,61,41,39,19,8,3,27,45,4,7,10,13,88,5,6,3,NA,NA,68,43,32,10,6,2,37,44,5,13,5,8,102,7,3,6,NA,NA,Female,0
Samantha Stosur,Klara Zakopalova,1,65,28,35,11,6,1,19,18,7,10,7,10,74,6,6,NA,NA,NA,50,18,50,7,1,5,27,27,4,14,10,15,60,3,4,NA,NA,NA,Female,1
Tsvetana Pironkova,Silvia Soler-Espinosa,1,62,28,38,12,5,0,30,21,3,5,4,7,68,6,6,NA,NA,NA,50,18,50,14,3,2,11,23,0,3,6,6,44,3,2,NA,NA,NA,Female,1
Annika Beck,Petra Martic,1,67,18,33,8,0,0,8,10,6,11,3,3,52,6,6,NA,NA,NA,50,8,50,4,2,6,7,34,0,2,3,7,25,0,0,NA,NA,NA,Female,1
Kiki Bertens,Ana Ivanovic,1,61,15,39,11,2,4,23,35,6,11,10,16,61,4,4,NA,NA,NA,60,24,40,9,3,4,14,22,8,9,4,6,73,6,6,NA,NA,NA,Female,0
Roberta Vinci,Jie Zheng,1,66,23,34,7,3,3,20,28,3,10,7,12,56,4,3,NA,NA,NA,68,26,32,10,0,2,26,25,5,7,1,2,67,6,6,NA,NA,NA,Female,0
